Current Procedural Terminology (CPT®) codes, descriptions, and other data are
copyright 1966, 1970, 1973, 1977, 1981, 1983-2024 by the American
Medical Association. All rights reserved.

CPT® is a registered trademark of the American Medical Association.

U.S. GOVERNMENT RIGHTS. CPT is commercial technical data
developed exclusively at the private expense by the American
Medical Association, 330 N. Wabash Ave., Suite 39300,
Chicago, IL 60611-5885. Use does not grant the Federal Government
a direct license to use CPT based on FAR 52.227-14 (Data Rights – General)
and DFARS 252.227-7015 (Technical Data Commercial Items).

This file may not be sold, duplicated, or given
away in whole or in part without the express written
consent of the American Medical Association.

To license additional CPT® products or to request a license
for the distribution of products with CPT® content, visit our website at
https://www.ama-assn.org/practice-management/cpt/ama-cpt-licensing-overview,
or purchase other CPT® products, contact customer service at 800-621-8335.

For the most current CPT® coding information, to learn about the early release
of CPT® codes, and to review the CPT® Errata to bring yourself up to date on corrections,
please visit https://www.ama-assn.org/practice-management/errata-technical-corrections.

Concept Id	CPT Code	Long	Medium	Short	Consumer	Spanish Consumer	Current Descriptor Effective Date	Test Name	Lab Name	Manufacturer Name
1038712	98001	Synchronous audio-video visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and low medical decision making. When using total time on the date of the encounter for code selection, 30 minutes must be met or exceeded.	SYNCHRONOUS AUDIO-VIDEO VISIT NEW LOW MDM 30 MIN	SYNCH AUDIO-VIDEO NEW LOW 30	New patient synchronous audio-video visit with low medical decision making, if using time 30 minutes or more	Visita audiovisual síncrona de un nuevo paciente con un nivel bajo de toma de decisiones médicas, si consume tiempo, 30 minutos o más	20250101			
1038713	98002	Synchronous audio-video visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and moderate medical decision making. When using total time on the date of the encounter for code selection, 45 minutes must be met or exceeded.	SYNCHRONOUS AUDIO-VIDEO VISIT NEW MOD MDM 45 MIN	SYNCH AUDIO-VIDEO NEW MOD 45	New patient synchronous audio-video visit with moderate medical decision making, if using time 45 minutes or more	Visita audiovisual síncrona de un nuevo paciente con un nivel moderado de toma de decisiones médicas, si consume tiempo, 45 minutos o más	20250101			
1038714	98003	Synchronous audio-video visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and high medical decision making. When using total time on the date of the encounter for code selection, 60 minutes must be met or exceeded.	SYNCHRONOUS AUDIO-VIDEO VST NEW HIGH MDM 60 MIN	SYNCH AUDIO-VIDEO NEW HI 60	New patient synchronous audio-video visit with high medical decision making, if using time 60 minutes or more	Visita audiovisual síncrona de un nuevo paciente con un nivel elevado de toma de decisiones médicas, si consume tiempo, 60 minutos o más	20250101			
1038716	98004	Synchronous audio-video visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and straightforward medical decision making. When using total time on the date of the encounter for code selection, 10 minutes must be met or exceeded.	SYNCHRONOUS AUDIO-VIDEO VISIT EST SF MDM 10 MIN	SYNCH AUDIO-VIDEO EST SF 10	Established patient synchronous audio-video visit with straightforward medical decision making, if using time 10 minutes or more	Visita audiovisual síncrona de un paciente establecido con un nivel mínimo de toma de decisiones médicas, si consume tiempo, 10 minutos o más	20250101			
1038717	98005	Synchronous audio-video visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and low medical decision making. When using total time on the date of the encounter for code selection, 20 minutes must be met or exceeded.	SYNCHRONOUS AUDIO-VIDEO VISIT EST LOW MDM 20 MIN	SYNCH AUDIO-VIDEO EST LOW 20	Established patient synchronous audio-video visit with low medical decision making, if using time 20 minutes or more	Visita audiovisual síncrona de un paciente establecido con un nivel bajo de toma de decisiones médicas, si consume tiempo, 20 minutos o más	20250101			
1038718	98006	Synchronous audio-video visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and moderate medical decision making. When using total time on the date of the encounter for code selection, 30 minutes must be met or exceeded.	SYNCHRONOUS AUDIO-VIDEO VISIT EST MOD MDM 30 MIN	SYNCH AUDIO-VIDEO EST MOD 30	Established patient synchronous audio-video visit with moderate medical decision making, if using time 30 minutes or more	Visita audiovisual síncrona de un paciente establecido con un nivel moderado de toma de decisiones médicas, si consume tiempo, 30 minutos o más	20250101			
1038719	98007	Synchronous audio-video visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and high medical decision making. When using total time on the date of the encounter for code selection, 40 minutes must be met or exceeded.	SYNCHRONOUS AUDIO-VIDEO VST EST HIGH MDM 40 MIN	SYNCH AUDIO-VIDEO EST HI 40	Established patient synchronous audio-video visit with high medical decision making, if using time 40 minutes or more	Visita audiovisual síncrona de un paciente establecido con un nivel elevado de toma de decisiones médicas, si consume tiempo, 40 minutos o más	20250101			
1038722	98008	Synchronous audio-only visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination, straightforward medical decision making, and more than 10 minutes of medical discussion. When using total time on the date of the encounter for code selection, 15 minutes must be met or exceeded.	SYNCHRONOUS AUDIO-ONLY VISIT NEW SF MDM 15 MIN	SYNCH AUDIO-ONLY NEW SF 15	New patient synchronous audio-only visit with straightforward medical decision making and 10 minutes or more of medical discussion, if using time 15 minutes or more	Visita de audio síncrona de un nuevo paciente con un nivel mínimo de toma de decisiones médicas y 10 minutos o más de consulta médica, si consume tiempo, 15 minutos o más	20250101			
1038723	98009	Synchronous audio-only visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination, low medical decision making, and more than 10 minutes of medical discussion. When using total time on the date of the encounter for code selection, 30 minutes must be met or exceeded.	SYNCHRONOUS AUDIO-ONLY VISIT NEW LOW MDM 30 MIN	SYNCH AUDIO-ONLY NEW LOW 30	New patient synchronous audio-only visit with low medical decision making and 10 minutes or more of medical discussion, if using time 30 minutes or more	Visita de audio síncrona de un nuevo paciente con un nivel bajo de toma de decisiones médicas y 10 minutos o más de consulta médica, si consume tiempo, 30 minutos o más	20250101			
1038724	98010	Synchronous audio-only visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination, moderate medical decision making, and more than 10 minutes of medical discussion. When using total time on the date of the encounter for code selection, 45 minutes must be met or exceeded.	SYNCHRONOUS AUDIO-ONLY VISIT NEW MOD MDM 45 MIN	SYNCH AUDIO-ONLY NEW MOD 45	New patient synchronous audio-only visit with moderate medical decision making and 10 minutes or more of medical discussion, if using time 45 minutes or more	Visita de audio síncrona de un nuevo paciente con un nivel moderado de toma de decisiones médicas y 10 minutos o más de consulta médica, si consume tiempo, 45 minutos o más	20250101			
1038725	98011	Synchronous audio-only visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination, high medical decision making, and more than 10 minutes of medical discussion. When using total time on the date of the encounter for code selection, 60 minutes must be met or exceeded.	SYNCHRONOUS AUDIO-ONLY VISIT NEW HIGH MDM 60 MIN	SYNCH AUDIO-ONLY NEW HIGH 60	New patient synchronous audio-only visit with high medical decision making and 10 minutes or more of medical discussion, if using time 60 minutes or more	Visita de audio síncrona de un nuevo paciente con un nivel elevado de toma de decisiones médicas y 10 minutos o más de consulta médica, si consume tiempo, 60 minutos o más	20250101			
1038727	98012	Synchronous audio-only visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination, straightforward medical decision making, and more than 10 minutes of medical discussion. When using total time on the date of the encounter for code selection, 10 minutes must be exceeded.	SYNCHRONOUS AUDIO-ONLY VISIT EST SF MDM 10 MIN	SYNCH AUDIO-ONLY EST SF 10	Established patient synchronous audio-only visit with straightforward medical decision making and 10 minutes or more of medical discussion, if using time 10 minutes or more	Visita de audio síncrona de un paciente establecido con un nivel mínimo de toma de decisiones médicas y 10 minutos o más de consulta médica, si consume tiempo, 10 minutos o más	20250101			
1038728	98013	Synchronous audio-only visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination, low medical decision making, and more than 10 minutes of medical discussion. When using total time on the date of the encounter for code selection, 20 minutes must be met or exceeded.	SYNCHRONOUS AUDIO-ONLY VISIT EST LOW MDM 20 MIN	SYNCH AUDIO-ONLY EST LOW 20	Established patient synchronous audio-only visit with low medical decision making and 10 minutes or more of medical discussion, if using time 20 minutes or more	Visita de audio síncrona de un paciente establecido con un nivel bajo de toma de decisiones médicas y 10 minutos o más de consulta médica, si consume tiempo, 20 minutos o más	20250101			
1038729	98014	Synchronous audio-only visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination, moderate medical decision making, and more than 10 minutes of medical discussion. When using total time on the date of the encounter for code selection, 30 minutes must be met or exceeded.	SYNCHRONOUS AUDIO-ONLY VISIT EST MOD MDM 30 MIN	SYNCH AUDIO-ONLY EST MOD 30	Established patient synchronous audio-only visit with moderate medical decision making and 10 minutes or more of medical discussion, if using time 30 minutes or more	Visita de audio síncrona de un paciente establecido con un nivel moderado de toma de decisiones médicas y 10 minutos o más de consulta médica, si consume tiempo, 30 minutos o más	20250101			
1038730	98015	Synchronous audio-only visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination, high medical decision making, and more than 10 minutes of medical discussion. When using total time on the date of the encounter for code selection, 40 minutes must be met or exceeded.	SYNCHRONOUS AUDIO-ONLY VISIT EST HIGH MDM 40 MIN	SYNCH AUDIO-ONLY EST HIGH 40	Established patient synchronous audio-only visit with high medical decision making and 10 minutes or more of medical discussion, if using time 40 minutes or more	Visita de audio síncrona de un paciente establecido con un nivel elevado de toma de decisiones médicas y 10 minutos o más de consulta médica, si consume tiempo, 40 minutos o más	20250101			
1038732	98016	Brief communication technology-based service (eg, virtual check-in) by a physician or other qualified health care professional who can report evaluation and management services, provided to an established patient, not originating from a related evaluation and management service provided within the previous 7 days nor leading to an evaluation and management service or procedure within the next 24 hours or soonest available appointment, 5-10 minutes of medical discussion	BRIEF COMMUNICATION TECH-BSD SVC EST PT 5-10 MIN	BRIEF COMUNICAJ TECH-BSD SVC	Established patient brief communication technology-based service with 5-10 minutes of medical discussion	Servicio breve prestado a un paciente establecido mediante tecnologías de la comunicación con 5 a 10 minutos de consulta médica	20250101			
1013663	99221	Initial hospital inpatient or observation care, per day, for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and straightforward or low level medical decision making. When using total time on the date of the encounter for code selection, 40 minutes must be met or exceeded.	1ST HOSPITAL IP/OBS CARE SF/LOW MDM 40 MINUTES	1ST HOSP IP/OBS SF/LOW 40	Initial hospital care with straightforward or low level of medical decision making, per day, if using time, at least 40 minutes	Cuidados iniciales en el hospital con un nivel mínimo o bajo de toma de decisiones médicas, por día, si consume tiempo, al menos 40 minutos	20230101			
1013665	99222	Initial hospital inpatient or observation care, per day, for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the encounter for code selection, 55 minutes must be met or exceeded.	1ST HOSPITAL IP/OBS CARE MODERATE MDM 55 MINUTES	1ST HOSP IP/OBS MODERATE 55	Initial hospital inpatient or observation care with moderate level of medical decision making. If using time, 55 minutes or more	Cuidados iniciales en el hospital a paciente internado o en observación, con un nivel moderado de toma de decisiones médicas, si consume tiempo, 55 minutos o más	20230101			
1013667	99223	Initial hospital inpatient or observation care, per day, for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and high level of medical decision making. When using total time on the date of the encounter for code selection, 75 minutes must be met or exceeded.	1ST HOSPITAL IP/OBS CARE HIGH MDM 75 MINUTES	1ST HOSP IP/OBS HIGH 75	Initial hospital inpatient or observation care with high level of medical decision making, if using time, 75 minutes or more	Cuidados iniciales en el hospital a paciente internado o en observación, con un nivel alto de toma de decisiones médicas, si consume tiempo, 75 minutos o más	20230101			
1013670	99231	Subsequent hospital inpatient or observation care, per day, for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and straightforward or low level of medical decision making. When using total time on the date of the encounter for code selection, 25 minutes must be met or exceeded.	SBSQ HOSPITAL IP/OBS CARE SF/LOW MDM 25 MINUTES	SBSQ HOSP IP/OBS SF/LOW 25	Subsequent hospital care with straightforward or low level of medical decision making, per day, if using time, at least 25 minutes	Cuidados posteriores en el hospital con un nivel mínimo o bajo de toma de decisiones médicas, por día, si consume tiempo, al menos 25 minutos	20230101			
1013672	99232	Subsequent hospital inpatient or observation care, per day, for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the encounter for code selection, 35 minutes must be met or exceeded.	SBSQ HOSPITAL IP/OBS CARE MOD MDM 35 MINUTES	SBSQ HOSP IP/OBS MODERATE 35	Subsequent hospital inpatient or observation care with high level of medical decision making, if using time, 35 minutes or more	Cuidados subsiguientes en el hospital a paciente internado o en observación, con un nivel alto de toma de decisiones médicas, si consume tiempo, 35 minutos o más	20230101			
1013674	99233	Subsequent hospital inpatient or observation care, per day, for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and high level of medical decision making. When using total time on the date of the encounter for code selection, 50 minutes must be met or exceeded.	SBSQ HOSPITAL IP/OBS CARE HIGH MDM 50 MINUTES	SBSQ HOSP IP/OBS HIGH 50	Subsequent hospital inpatient or observation care with high level of medical decision making, if using time, 50 minutes or more	Cuidados subsiguientes en el hospital a paciente internado o en observación, con un nivel alto de toma de decisiones médicas, si consume tiempo, 50 minutos o más	20230101			
1013677	99234	Hospital inpatient or observation care, for the evaluation and management of a patient including admission and discharge on the same date, which requires a medically appropriate history and/or examination and straightforward or low level of medical decision making. When using total time on the date of the encounter for code selection, 45 minutes must be met or exceeded.	HOSPITAL IP/OBS CARE SAME DATE SF/LOW MDM 45 MIN	HOSP IP/OBS SM DT SF/LOW 45	Hospital inpatient or observation care with admission and discharge on the same date with straightforward or low level of medical decision making, if using time, 45 minutes or more	Cuidados en el hospital a paciente internado o en observación, con ingreso y alta el mismo día, con un nivel mínimo o bajo de toma de decisiones médicas, si consume tiempo, 45 minutos o más	20230101			
1013679	99235	Hospital inpatient or observation care, for the evaluation and management of a patient including admission and discharge on the same date, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the encounter for code selection, 70 minutes must be met or exceeded.	HOSPITAL IP/OBS CARE SAME DATE MOD MDM 70 MIN	HOSP IP/OBS SAME DATE MOD 70	Hospital inpatient or observation care with admission and discharge on the same date with moderate level of medical decision making, if using time, 70 minutes or more	Cuidados en el hospital a paciente internado o en observación, con ingreso y alta el mismo día, con un nivel moderado de toma de decisiones médicas, si consume tiempo, 70 minutos o más	20230101			
1013681	99236	Hospital inpatient or observation care, for the evaluation and management of a patient including admission and discharge on the same date, which requires a medically appropriate history and/or examination and high level of medical decision making. When using total time on the date of the encounter for code selection, 85 minutes must be met or exceeded.	HOSPITAL IP/OBS CARE SAME DATE HIGH MDM 85 MIN	HOSP IP/OBS SAME DATE HI 85	Hospital inpatient or observation care with admission and discharge on the same date with high level of medical decision making, if using time, 85 minutes or more	Cuidados en el hospital a paciente internado o en observación, con ingreso y alta el mismo día, con un nivel alto de toma de decisiones médicas, si consume tiempo, 85 minutos o más	20230101			
1013684	99238	Hospital inpatient or observation discharge day management; 30 minutes or less on the date of the encounter	HOSPITAL IP/OBS DISCHARGE DAY MGMT 30 MIN/<	HOSP IP/OBS DSCHRG MGMT 30/<	Hospital inpatient or observation discharge day management, 30 minutes or less	Gestión del día del alta hospitalaria de paciente internado o en observación, 30 minutos o menos	20230101			
1013685	99239	Hospital inpatient or observation discharge day management; more than 30 minutes on the date of the encounter	HOSPITAL IP/OBS DISCHARGE DAY MGMT > 30 MIN	HOSP IP/OBS DSCHRG MGMT >30	Hospital inpatient or observation discharge day management, more than 30 minutes	Gestión del día del alta hospitalaria de paciente internado o en observación, más de 30 minutos	20230101			
1013692	99242	Office or other outpatient consultation for a new or established patient, which requires a medically appropriate history and/or examination and straightforward medical decision making. When using total time on the date of the encounter for code selection, 20 minutes must be met or exceeded.	OFFICE/OP CONSLTJ NEW/EST PT SF MDM 20 MINUTES	OFF/OP CONSLTJ NEW/EST SF 20	Office or other outpatient consultation with straightforward medical decision making, if using total time, 20 minutes or more	Visita al consultorio u otra consulta externa con un nivel mínimo de toma de decisiones médicas, si consume todo el tiempo, 20 minutos o más	20230101			
1013694	99243	Office or other outpatient consultation for a new or established patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter for code selection, 30 minutes must be met or exceeded.	OFFICE/OP CONSLTJ NEW/EST PT LOW MDM 30 MINUTES	OFF/OP CNSLTJ NEW/EST LOW 30	Office or other outpatient consultation with low level of medical decision making, if using time, 30 minutes or more	Visita al consultorio u otra consulta externa con un nivel bajo de toma de decisiones médicas, si consume tiempo, 30 minutos o más	20230101			
1013696	99244	Office or other outpatient consultation for a new or established patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the encounter for code selection, 40 minutes must be met or exceeded.	OFFICE/OP CONSLTJ NEW/EST PT MOD MDM 40 MINUTES	OFF/OP CNSLTJ NEW/EST MOD 40	Office or other outpatient consultation with moderate level of medical decision making, if using time, 40 minutes or more	Visita al consultorio u otra consulta externa con un nivel moderado de toma de decisiones médicas, si consume tiempo, 40 minutos o más	20230101			
1013698	99245	Office or other outpatient consultation for a new or established patient, which requires a medically appropriate history and/or examination and high level of medical decision making. When using total time on the date of the encounter for code selection, 55 minutes must be met or exceeded.	OFFICE/OP CONSLTJ NEW/EST PT HIGH MDM 55 MINUTES	OFF/OP CONSLTJ NEW/EST HI 55	Office or other outpatient consultation with high level of medical decision making, if using time, 55 minutes or more	Visita al consultorio u otra consulta externa con un nivel alto de toma de decisiones médicas, si consume tiempo, 55 minutos o más	20230101			
1013704	99252	Inpatient or observation consultation for a new or established patient, which requires a medically appropriate history and/or examination and straightforward medical decision making. When using total time on the date of the encounter for code selection, 35 minutes must be met or exceeded.	IP/OBS CONSLTJ NEW/EST PT SF MDM 35 MINUTES	IP/OBS CONSLTJ NEW/EST SF 35	Inpatient or observation consultation with straightforward medical decision making, if using time, 35 minutes or more	Consulta a paciente internado o en observación con un nivel mínimo de toma de decisiones médicas, si consume tiempo, 35 minutos o más	20230101			
1013706	99253	Inpatient or observation consultation for a new or established patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter for code selection, 45 minutes must be met or exceeded.	IP/OBS CONSLTJ NEW/EST PT LOW MDM 45 MINUTES	IP/OBS CNSLTJ NEW/EST LOW 45	Inpatient or observation consultation with low level of medical decision making, if using total time, 45 minutes or more	Consulta a paciente internado o en observación con un nivel bajo de toma de decisiones médicas, si consume tiempo, 45 minutos o más	20230101			
1013708	99254	Inpatient or observation consultation for a new or established patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the encounter for code selection, 60 minutes must be met or exceeded.	IP/OBS CONSLTJ NEW/EST PT MOD MDM 60 MINUTES	IP/OBS CNSLTJ NEW/EST MOD 60	Inpatient or observation consultation with moderate level of medical decision making, if using time, 60 minutes or more	Consulta a paciente internado o en observación con un nivel moderado de toma de decisiones médicas, si consume tiempo, 60 minutos o más	20230101			
1013710	99255	Inpatient or observation consultation for a new or established patient, which requires a medically appropriate history and/or examination and high level of medical decision making. When using total time on the date of the encounter for code selection, 80 minutes must be met or exceeded.	IP/OBS CONSLTJ NEW/EST PT HIGH MDM 80 MINUTES	IP/OBS CONSLTJ NEW/EST HI 80	Inpatient or observation consultation with high level of medical decision making, if using time, 80 minutes or more	Consulta a paciente internado o en observación con un nivel alto de toma de decisiones médicas, si consume tiempo, 80 minutos o más	20230101			
1013714	99281	Emergency department visit for the evaluation and management of a patient that may not require the presence of a physician or other qualified health care professional	EMERGENCY DEPARTMENT VISIT MAY NOT REQ PHYS/QHP	EMR DPT VST MAYX REQ PHY/QHP	Emergency department visit for problem that may not require health care professional	Visita a la sala de urgencias por un problema que pudiera no requerir un profesional de la salud	20230101			
1013716	99282	Emergency department visit for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and straightforward medical decision making	EMERGENCY DEPARTMENT VISIT STRAIGHTFORWARD MDM	EMERGENCY DEPT VISIT SF MDM	Emergency department visit with straightforward medical decision making	Visita a la sala de urgencias con un nivel mínimo de toma de decisiones médicas	20230101			
1013718	99283	Emergency department visit for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and low level of medical decision making	EMERGENCY DEPARTMENT VISIT LOW MDM	EMERGENCY DEPT VISIT LOW MDM	Emergency department visit with low level of medical decision making	Visita a la sala de urgencias con un nivel bajo de toma de decisiones médicas	20230101			
1013720	99284	Emergency department visit for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making	EMERGENCY DEPARTMENT VISIT MODERATE MDM	EMERGENCY DEPT VISIT MOD MDM	Emergency department visit with moderate level of medical decision making	Visita a la sala de urgencias con un nivel moderado de toma de decisiones médicas	20230101			
1013722	99285	Emergency department visit for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and high level of medical decision making	EMERGENCY DEPARTMENT VISIT HIGH MDM	EMERGENCY DEPT VISIT HI MDM	Emergency department visit with high level of medical decision making	Visita a la sala de urgencias con un nivel elevado de toma de decisiones médicas	20230101			
1013724	99288	Physician or other qualified health care professional direction of emergency medical systems (EMS) emergency care, advanced life support	PHYS/QHP DIRECTION EMERGENCY MEDICAL SYSTEMS	DIRECT ADVANCED LIFE SUPPORT	Physician direction of emergency advanced life support paramedic services	Dirección médica de emergencia, servicios paramédicos de soporte vital avanzado				
1013730	99291	Critical care, evaluation and management of the critically ill or critically injured patient; first 30-74 minutes	CRITICAL CARE ILL/INJURED PATIENT INIT 30-74 MIN	CRITICAL CARE FIRST HOUR	Critical care, first 30-74 minutes	Cuidados críticos, primeros 30-74 minutos				
1013731	99292	Critical care, evaluation and management of the critically ill or critically injured patient; each additional 30 minutes (List separately in addition to code for primary service)	CRITICAL CARE ILL/INJURED PATIENT ADDL 30 MIN	CRITICAL CARE ADDL 30 MIN	Critical care, each additional 30 minutes	Cuidados críticos, cada 30 minutos adicionales				
